reqYymm,year,cstmSgn,portCd,statKor,expCnt,expDlr,impCnt,impDlr,balPayments
202412,202412,102,KRKAN,광양항,5,305706,0,0,305706
202412,202412,110,KRKAN,광양항,20,2521170,2,105851,2415319
202412,202412,120,KRKAN,광양항,122,6152207,0,0,6152207
202412,202412,121,KRKAN,광양항,310,9686770,0,0,9686770
202412,202412,122,KRKAN,광양항,55,7267295,0,0,7267295
202412,202412,130,KRKAN,광양항,3,75915,2,7118,68797
202412,202412,131,KRKAN,광양항,1,2000,4,186047,-184047
202412,202412,150,KRKAN,광양항,124,4069182,0,0,4069182
202412,202412,151,KRKAN,광양항,46,61325965,0,0,61325965
202412,202412,152,KRKAN,광양항,94,15178246,0,0,15178246
202412,202412,153,KRKAN,광양항,19,1588083,0,0,1588083
202412,202412,154,KRKAN,광양항,368,41157713,0,0,41157713
202412,202412,020,KRKCN,감천항,106,2217875,0,0,2217875
202412,202412,030,KRKCN,감천항,263,8315071,817,172707872,-164392801
202412,202412,052,KRKCN,감천항,14,141612,0,0,141612
202412,202412,053,KRKCN,감천항,1,75,4,25061,-24986
202412,202412,056,KRKCN,감천항,0,0,6,2652914,-2652914
202412,202412,062,KRKCN,감천항,0,0,1,297322,-297322
202412,202412,110,KRKCN,감천항,2,61480,0,0,61480
202412,202412,120,KRKCN,감천항,0,0,1,118041,-118041
202412,202412,151,KRKCN,감천항,3,154894,0,0,154894
202412,202412,051,KRKHN,고현항,58,1280351187,61,42979234,1237371953
202412,202412,020,KRKPO,포항항,2,132216,0,0,132216
202412,202412,023,KRKPO,포항항,1,15760,0,0,15760
202412,202412,030,KRKPO,포항항,2,77486,3,294,77192
202412,202412,033,KRKPO,포항항,2,309330,0,0,309330
202412,202412,039,KRKPO,포항항,1,470556,0,0,470556
202412,202412,053,KRKPO,포항항,21,1283097,0,0,1283097
202412,202412,060,KRKPO,포항항,3,162570,0,0,162570
202412,202412,062,KRKPO,포항항,16,700911,0,0,700911
202412,202412,110,KRKPO,포항항,0,0,1,236,-236
202412,202412,122,KRKPO,포항항,1448,478391924,176,111531272,366860652
202412,202412,152,KRKPO,포항항,5,755701,0,0,755701
202412,202412,011,KRKUV,군산항,1,12131,0,0,12131
202412,202412,020,KRKUV,군산항,28,3286174,5164,32159425,-28873251
202412,202412,023,KRKUV,군산항,1,183619,0,0,183619
202412,202412,030,KRKUV,군산항,30,631533,2,51924,579609
202412,202412,033,KRKUV,군산항,2,37986,0,0,37986
202412,202412,041,KRKUV,군산항,0,0,2,7467,-7467
202412,202412,053,KRKUV,군산항,2,182630,0,0,182630
202412,202412,054,KRKUV,군산항,0,0,2,122513,-122513
202412,202412,056,KRKUV,군산항,1,23476,0,0,23476
202412,202412,060,KRKUV,군산항,1,23321,0,0,23321
202412,202412,070,KRKUV,군산항,1,473879,0,0,473879
202412,202412,071,KRKUV,군산항,0,0,1,109366,-109366
202412,202412,080,KRKUV,군산항,315,59220081,94991,263190645,-203970564
202412,202412,081,KRKUV,군산항,4,269032,2,108377,160655
202412,202412,082,KRKUV,군산항,79,16774513,21,823452,15951061
202412,202412,110,KRKUV,군산항,8,5853728,0,0,5853728
202412,202412,120,KRKUV,군산항,3,334312,0,0,334312
202412,202412,122,KRKUV,군산항,2,48962,0,0,48962
202412,202412,150,KRKUV,군산항,6,282699,0,0,282699
202412,202412,151,KRKUV,군산항,3,2256900,0,0,2256900
202412,202412,152,KRKUV,군산항,12,3108433,0,0,3108433
202412,202412,010,KRMAS,마산항,1,67300,0,0,67300
202412,202412,012,KRMAS,마산항,2,3946177,0,0,3946177
202412,202412,014,KRMAS,마산항,1,1850000,0,0,1850000
202412,202412,016,KRMAS,마산항,25,38694908,3,154342,38540566
202412,202412,017,KRMAS,마산항,24,603914,67,3350181,-2746267
202412,202412,020,KRMAS,마산항,326,15374569,0,0,15374569
202412,202412,021,KRMAS,마산항,8,57957463,0,0,57957463
202412,202412,023,KRMAS,마산항,12,11933538,0,0,11933538
202412,202412,030,KRMAS,마산항,49,47152820,8,4210,47148610
202412,202412,033,KRMAS,마산항,2,225686,0,0,225686
202412,202412,039,KRMAS,마산항,9,40396773,0,0,40396773
202412,202412,050,KRMAS,마산항,372,537401141,299,78424000,458977141
202412,202412,051,KRMAS,마산항,0,0,1,2980455,-2980455
202412,202412,053,KRMAS,마산항,342,760703061,1,689104,760013957
202412,202412,056,KRMAS,마산항,9,20109691,6,1216285,18893406
202412,202412,060,KRMAS,마산항,3,36908927,0,0,36908927
202412,202412,062,KRMAS,마산항,3,4054906,0,0,4054906
202412,202412,070,KRMAS,마산항,0,0,2,2973282,-2973282
202412,202412,071,KRMAS,마산항,1,54960,0,0,54960
202412,202412,080,KRMAS,마산항,51,11949961,0,0,11949961
